ksrl_sc_gould_ia_1_2_007,Book,Edition,Part,PlateNumber,Type,BaseFileName,FullFileName,TitleOnPiece,ArtistStatement,NamedArtists,PrinterStatement,Printer,Bird_1_CommonNameOnPiece,Bird_1_GenusOnPiece,Bird_1_SpeciesOnPiece,Bird_1_SpeciesNamers,Bird_1_AltCommonNamesOnPiece,Bird_1_OtherCommonNames,Bird_1_GenusModern,Bird_1_SpeciesModern,Bird_1_OtherGenusSpecies,Bird_1_DateCreated,Medium,Support,Size,SubjectNote,ContentNote,ArtistNote,PublicationNote,PhysicalConditionNote,Bird_2_CommonNamesOnPiece,Bird_2_GenusOnPiece,Bird_2_SpeciesOnPiece,Bird_2_SpeciesNamers,Bird_2_AltCommonNamesOnPiece,Bird_2_OtherCommonNames,Bird_2_GenusModern,Bird_2_SpeciesModern,Bird_2_DateCreated,Bird_2_OtherGenusSpecies,Bird_1_ModernNamer,Bird_1_ModernCommonName,Bird_2_ModernNamer,Bird_2_ModernCommonName,Bird_3_CommonNamesOnPiece,Bird_3_GenusOnPiece,Bird_3_SpeciesOnPiece,Bird_3_SpeciesNamers,Bird_3_AltCommonNamesOnPiece,Bird_3_OtherCommonNames,Bird_3_GenusModern,Bird_3_SpeciesModern,Bird_3_DateCreated,Bird_3_OtherGenusSpecies,Bird_3_ModernNamer,Bird_3_ModernCommonName
775,GB,1st,4,68,pl,ksrl_sc_gould_gb_1_4_068,ksrl_sc_gould_gb_1_4_068.tif,,,,,,Curlew sandpiper,Ancylocheilus,subarquata,,,,Calidris,ferruginea,,,,,,,,,,,,,,,,,,,,,"Pontoppidan, 1763",b̩casseau cocorli, Curlew Sandpiper,,,,,,,,,,,,,
778,GB,1st,4,69,pl,ksrl_sc_gould_gb_1_4_069,ksrl_sc_gould_gb_1_4_069.tif,,,,,,Dunlin,Pelidna,cinclus,,,,Calidris,alpina,,,,,,,summer plumage,,,,,,,,,,,,,,"Linnaeus, 1758","Dunlin; b̩casseau variable, Playero dorso rojo",,,,,,,,,,,,,,
781,GB,1st,4,70,pl,ksrl_sc_gould_gb_1_4_070,ksrl_sc_gould_gb_1_4_070.tif,,,,,,Dunlin,Pelidna,cinclus,,,,Calidris,alpina,,,,,,,winter plumage,,,,,,,,,,,,,,"Linnaeus, 1758","Dunlin; b̩casseau variable, Playero dorso rojo",,,,,,,,,,,,,,
784,GB,1st,4,71,pl,ksrl_sc_gould_gb_1_4_071,ksrl_sc_gould_gb_1_4_071.tif,,,,,,Bonaparte's sandpiper,Pelidna,bonapartei,,,,Calidris,fuscicollis,,,,,,,,,,,,,,,,,,,,,"Vieillot, 1819","White-rumped Sandpiper; b̩casseau �� croupion blanc, Playero rabadilla blanca",,,,,,,,,,,,,,
787,GB,1st,4,72,pl,ksrl_sc_gould_gb_1_4_072,ksrl_sc_gould_gb_1_4_072.tif,,,,,,Little stint,Actodromas,minuta,,,,Calidris,minuta,,,,,,,,,,,,,,,,,,,,,"Leisler, 1812",Little Stint,,,,,,,,,,,,,,
790,GB,1st,4,73,pl,ksrl_sc_gould_gb_1_4_073,ksrl_sc_gould_gb_1_4_073.tif,,,,,,Temminck's stint,Leimonites,temminickii,,,,Calidris,temminckii,,,,,,,,,,,,,,,,,,,,,"Leisler, 1812",Temminck's Stint, b̩casseau de TemminckTemminck's Stint,,,,,,,,,,,,,
793,GB,1st,4,74,pl,ksrl_sc_gould_gb_1_4_074,ksrl_sc_gould_gb_1_4_074.tif,,,,,,Purple sandpiper,Arquatella,maritima,,,,Calidris,maritima,,,,,,,,,,,,,,,,,,,,,"Brunnich, 1764",Purple Sandpiper, b̩casseau violet,,,,,,,,,,,,,
46,OD,1st,1,16,pl,ksrl_sc_gould_od_1_1_016,ksrl_sc_gould_od_1_1_016.tif,,,,,,,Callipepla,californica,,,,Callipepla,californica,,,,,,,,,,,,,,,,,,,,,"Shaw, 1798","California Quail, Californian Quail, Codorniz californiana",,,,,,,,,,,,,,
49,OD,1st,1,17,pl,ksrl_sc_gould_od_1_1_017,ksrl_sc_gould_od_1_1_017.tif,,,,,,,Callipepla,gambelii,,,,Callipepla,gambelii��,,,,,,,,,,,,,,,,,,,,,"Gambel, 1843","Gambel's Quail, Codorniz chiquiri",,,,,,,,,,,,,,
52,OD,1st,1,18,pl,ksrl_sc_gould_od_1_1_018,ksrl_sc_gould_od_1_1_018.tif,,,,,,,Callipepla,elegans,,,,Callipepla,douglasii��,,,,,,,,,,,,,,,,,,,,,"Vigors, 1829","Elegant Quail, Codorniz cresta dorada",,,,,,,,,,,,,,
55,OD,1st,1,19,pl,ksrl_sc_gould_od_1_1_019,ksrl_sc_gould_od_1_1_019.tif,,,,,,,Callipepla,squamata,,,,Callipepla,squamata,,,,,,,,,,,,,,,,,,,,,"Vigors, 1830","Scaled Quail, Codorniz escamosa",,,,,,,,,,,,,,
